,label,centroid-0,centroid-1,gfp_filled_area,gfp_min_intensity,gfp_mean_intensity,gfp_max_intensity,gfp_sum_intensity
0,1,14.044541010320478,987.6252036936447,1841,6313,11135.0,45944,20500258.0
1,2,15.736734693877551,152.41632653061225,2450,5107,5599.0,6623,13717357.0
2,3,19.454336147352265,406.03453568687644,2606,6139,8949.0,23287,23321953.0
3,4,47.067032649523256,356.8543773475874,3461,5651,7671.0,15019,26550503.0
4,5,38.88345864661654,526.764828738513,2394,5823,6206.0,6634,14856793.0
5,6,43.69693325315694,999.9885748647024,1663,8347,17283.0,65535,28742321.0
6,7,56.118798361401915,139.84615384615384,2197,5224,13421.0,65535,29485900.0
7,8,74.62775415539235,536.7398531117124,2587,5884,6310.0,6788,16323484.0
8,9,64.1781802864364,185.43218197135636,2374,5541,7404.0,12884,17577757.0
9,10,83.06604506604506,1010.6348096348096,1287,8231,17058.0,65535,21954036.0
10,11,88.18569903948773,980.3820704375667,1874,9732,18480.0,49230,34631230.0
11,12,101.95800415800416,161.9043659043659,2405,6850,14961.0,51961,35980975.0
12,13,94.79569536423841,317.3543046357616,3020,7023,13693.0,43161,41353621.0
13,14,98.98532731376976,594.1711813393529,2658,5995,6597.0,8138,17535499.0
14,15,119.42686170212765,359.3713430851064,3008,7838,15116.0,41870,45470332.0
15,16,126.53795066413662,980.1143263757116,2108,9430,22056.0,65535,46494948.0
16,17,130.8564417177914,577.2926380368098,1630,6396,8554.0,24163,13942959.0
17,18,155.22724161533196,966.8172484599589,1461,7468,18857.0,65535,27550425.0
18,19,151.32325268817203,537.6619623655914,1488,7384,10012.0,26186,14898145.0
19,20,157.98950524737631,574.5802098950525,667,8229,10366.0,16549,6914129.0
20,21,170.61458333333334,708.09375,4128,5730,6223.0,7049,25686995.0
21,22,165.719335832887,904.5297268344939,1867,5365,5910.0,7067,11033329.0
22,23,186.21030270844398,980.3388210302709,1883,7409,14491.0,37452,27287054.0
23,24,184.3054919908467,530.9982837528604,1748,7117,14525.0,45328,25389607.0
24,25,170.16129032258064,608.4227504244482,1767,6392,7742.0,11063,13679341.0
25,26,190.15222222222224,564.0377777777778,900,6732,9901.0,16953,8910781.0
26,27,191.65759113982463,1009.7531149053991,2167,10770,18746.0,52269,40622360.0
27,28,199.9691898060099,892.1989349562572,2629,5384,5743.0,6222,15098331.0
28,29,204.21857304643262,591.4784824462062,1766,6222,7220.0,11616,12750911.0
29,30,197.75932371954252,357.93187468920934,2011,6261,7994.0,11582,16075877.0
30,31,220.71013465627215,365.64280652019846,1411,6437,8814.0,12516,12437043.0
31,32,236.34547738693468,382.19095477386935,1592,6884,13166.0,35956,20960937.0
32,33,243.77802491103202,93.75978647686833,2248,6259,10874.0,37179,24444702.0
33,34,257.88637790332706,387.5235404896422,1593,7873,13491.0,34137,21491176.0
34,35,262.40909090909093,711.6368471953579,2068,6808,10330.0,40404,21361501.0
35,36,262.8173880030372,672.2456340167047,2634,7114,13029.0,56067,34317451.0
36,37,278.4723817940787,96.98806893504198,2263,6341,12785.0,43024,28931690.0
37,38,283.2074412074412,404.4134784134784,2849,6632,8217.0,31135,23410507.0
38,39,281.9086497288039,579.3025977733371,3503,6178,6600.0,7213,23121503.0
39,40,292.1010943199583,788.3246482542991,1919,8188,16751.0,65535,32144787.0
40,41,300.43424825891026,1002.5919705038918,2441,5802,7672.0,16721,18726490.0
41,42,304.1701167728238,523.8691613588111,3768,6197,6718.0,7496,25313520.0
42,43,306.2120924343147,313.53181386514717,3159,6091,7125.0,11174,22506532.0
43,44,327.4050314465409,792.4624737945493,2385,8016,20085.0,65535,47902320.0
44,45,323.8870917573872,428.2127527216174,3215,6137,6775.0,7468,21780246.0
45,46,323.13778608127046,630.0906118636151,2141,6170,6935.0,8151,14848595.0
46,47,332.54527162977865,582.6934942991281,1491,6454,7491.0,8889,11168803.0
47,48,339.3452166064982,914.6435018050541,4432,5383,5958.0,8156,26405798.0
48,49,335.37263726372635,346.45184518451845,1111,8423,12706.0,26069,14116285.0
49,50,351.33768656716416,308.5621890547264,1608,6738,8863.0,12521,14250959.0
50,51,352.2051077414206,628.293695131684,1253,6588,9703.0,38948,12158125.0
51,52,339.63388888888886,381.955,1800,6578,8795.0,26709,15831700.0
52,53,358.0421333333333,1008.5770666666666,1875,5644,6385.0,14057,11970994.0
53,54,348.91398305084743,500.00296610169494,2360,6358,6894.0,7944,16269132.0
54,55,365.93586698337293,336.3871733966746,842,8883,12030.0,23403,10129189.0
55,56,364.53211769581435,553.4745130542892,2413,6486,7338.0,8808,17707130.0
56,57,374.9983179142136,586.5391084945333,1189,7244,9169.0,23463,10901681.0
57,58,366.9772209567198,386.1617312072893,878,6672,8263.0,20810,7255066.0
58,59,364.2651399491094,956.7083969465649,1965,5804,7972.0,12594,15665672.0
59,60,373.0098489822718,988.6966513460276,1523,5837,7147.0,12807,10885612.0
60,61,390.68249075215783,379.9130702836005,1622,6572,7418.0,10447,12031354.0
61,62,372.8401805869074,448.97878103837473,2215,6359,6845.0,8064,15161515.0
62,63,383.2776896223421,269.5969533481435,3151,6671,11735.0,59501,36977912.0
63,64,383.16565656565655,507.76430976430976,1485,6375,6846.0,7731,10166899.0
64,65,390.5697852760736,606.7292944785277,1304,6937,13771.0,53597,17957959.0
65,66,392.7147577092511,643.2074155653451,2724,6355,8329.0,37782,22689036.0
66,67,383.77734375,11.728515625,1024,10091,13413.0,21955,13735229.0
67,68,401.9081761006289,336.95010482180294,2385,6958,7972.0,11236,19014142.0
68,69,410.4888888888889,463.1101234567901,2025,6364,6850.0,7330,13871144.0
69,70,413.48201438848923,966.168875425975,2641,5329,5837.0,6459,15415279.0
70,71,419.6092555331992,511.1951710261569,2485,6144,6736.0,7147,16739414.0
71,72,402.53838678328475,42.22497570456754,2058,6737,9753.0,21007,20071003.0
72,73,418.76077586206895,7.325431034482759,464,9926,12869.0,25218,5971397.0
73,74,436.48930481283423,34.08288770053476,1122,8808,12801.0,19445,14363236.0
74,75,442.24505208333335,601.8479166666667,3840,6077,6740.0,8024,25881279.0
75,76,454.63647490820074,13.462668298653611,817,11043,19296.0,56116,15764714.0
76,77,452.12751348700345,352.1687101520353,2040,7873,18028.0,64599,36777404.0
77,78,459.51603145795525,384.57350272232304,1653,8043,15626.0,49640,25830210.0
78,79,482.18918918918916,38.97490347490348,2072,6126,11319.0,45686,23453443.0
79,80,476.9923111714156,425.7444595205789,2211,7580,12519.0,31675,27679682.0
80,81,501.34554537885094,11.305578684429642,1201,5660,8899.0,40923,10687437.0
81,82,490.55825242718447,939.9447348767737,2678,5968,12755.0,42386,34157546.0
82,83,480.22235157159486,1004.1053550640279,1718,6178,7848.0,16349,13482432.0
83,84,494.4967197750703,461.3106841611996,2134,7924,14122.0,35753,30136850.0
84,85,490.10263522884884,973.6768377253815,1442,6001,8666.0,19974,12496675.0
85,86,504.62263422170724,377.03746620316724,2589,7144,11300.0,25227,29255288.0
86,87,524.2520954223082,1006.495164410058,1551,5651,6579.0,17639,10203776.0
87,88,516.1766270978305,861.5550552599263,4886,5318,6073.0,9516,29674853.0
88,89,529.4010025062656,480.325313283208,1995,8544,16659.0,40660,33235208.0
89,90,530.1097689075631,414.078781512605,1904,8100,14010.0,47933,26674891.0
90,91,530.2453819271093,563.0581627558662,4006,6169,6682.0,7799,26766740.0
91,92,543.1415296640457,962.9835596854896,2798,5325,7276.0,20715,20358350.0
92,93,541.3314826910516,661.3569562377531,3062,5837,6739.0,9553,20635067.0
93,94,563.9429945054945,469.94574175824175,1456,9338,21594.0,45537,31440448.0
94,95,561.2642436149313,443.38801571709234,1018,11121,21013.0,50006,21391085.0
95,96,568.9144173798552,417.009874917709,1519,9202,23516.0,65535,35720850.0
96,97,578.5323491098567,647.6469821971342,2303,6230,7773.0,11866,17900228.0
97,98,582.5156672069152,590.8517017828201,3702,6116,6580.0,7024,24359797.0
98,99,572.4328205128205,1011.1364102564103,975,6100,7771.0,10216,7577201.0
99,100,593.6293588301462,966.4381327334083,1778,5045,5559.0,6983,9884249.0
100,101,597.0571992110454,1007.2781065088758,507,5494,6318.0,9119,3203053.0
101,102,609.1455868971792,985.9945404913558,1099,4922,5637.0,7211,6194655.0
102,103,628.3131067961165,1008.6690938511326,1236,4895,5415.0,7897,6693387.0
103,104,626.6101442068623,336.51740427647934,4022,5919,6669.0,11214,26822003.0
104,105,655.4832713754647,530.8937865108869,3766,5993,6441.0,6895,24255301.0
105,106,657.5937231298366,456.3383490971625,2326,6096,6564.0,7353,15268910.0
106,107,668.1428571428571,423.83456486042695,2436,5989,6490.0,7069,15810535.0
107,108,671.6062447611065,140.36085498742665,4772,5833,8982.0,21595,42860499.0
108,109,691.8559888579388,62.15431754874652,3590,5195,5784.0,6357,20762923.0
109,110,743.536141149687,104.84234490608992,1757,5418,5885.0,6461,10339150.0
110,111,745.2201300924341,880.7613830879835,2921,4913,5268.0,5628,15388565.0
111,112,760.1495865697821,673.616637434227,3991,5357,5889.0,6409,23504539.0
112,113,755.3658094893154,205.5309670409272,2761,6293,9287.0,18532,25641700.0
113,114,767.6822857142857,82.38628571428572,875,5179,5735.0,6234,5018147.0
114,115,763.7133655394525,776.9873475960433,4347,4935,5574.0,6518,24230344.0
115,116,768.5601173020527,114.21847507331378,682,5640,6055.0,6732,4129828.0
116,117,784.0223274695535,886.7966847090663,2956,4852,5265.0,6206,15562575.0
117,118,773.5806304248515,156.8391959798995,2189,5915,8451.0,20097,18499135.0
118,119,792.0989824236818,123.32562442183163,1081,5768,6250.0,7273,6755944.0
119,120,788.7414750198255,577.334655035686,2522,6746,10862.0,27577,27394654.0
120,121,796.8117136659436,222.21475054229936,2305,6695,13271.0,23029,30590379.0
121,122,805.5909610983982,87.81235697940504,1748,5247,5790.0,6453,10120735.0
122,123,800.3705997392439,289.53422425032596,3068,5707,6266.0,7874,19223374.0
123,124,798.3595,616.7875,2000,5691,6797.0,10253,13594900.0
124,125,807.0326996197718,180.52623574144488,1315,7022,18753.0,44200,24659830.0
125,126,830.6290456431535,259.2767634854772,2410,5852,7627.0,13830,18380271.0
126,127,827.068998716303,954.5837612323492,3116,5174,8527.0,15152,26571299.0
127,128,827.1188352570829,28.984260230849948,3812,4862,5349.0,5860,20390790.0
128,129,828.6526410026858,159.4189794091316,1117,7154,12789.0,51576,14284982.0
129,130,831.2059123343527,913.2059123343527,2943,5049,6474.0,12059,19053854.0
130,131,835.015047879617,120.62973096215231,2193,5480,6751.0,10197,14804249.0
131,132,839.778259299386,605.0505597688697,2769,5618,6160.0,7480,17055675.0
132,133,840.1505376344086,206.0415770609319,1396,9429,27611.0,61337,38545317.0
133,134,855.568359375,163.73046875,1024,7419,11961.0,43604,12248283.0
134,135,872.8160185722577,216.8125362739408,1723,8764,19921.0,52041,34324224.0
135,136,880.1701323251418,185.59262759924385,1058,10392,18830.0,43580,19921663.0
136,137,877.7016110732925,761.3505786249149,4407,4908,5334.0,5794,23508876.0
137,138,868.8299959133633,985.9934613812832,2447,4518,5326.0,9700,13033242.0
138,139,871.3259475218659,97.58483965014577,1715,5496,7392.0,12758,12677951.0
139,140,884.8553911205074,60.333615221987316,2365,4961,5653.0,7651,13369752.0
140,141,881.1435100548446,148.4926873857404,1094,8011,15364.0,37573,16807688.0
141,142,894.5519739224918,21.369069177834117,2761,4660,5153.0,5610,14227056.0
142,143,893.7951807228916,293.7908615594453,4399,5500,6103.0,6820,26845716.0
143,144,896.3430107526882,972.8,930,4774,5998.0,9577,5578053.0
144,145,896.1615897882216,897.23469683783,3447,5238,7589.0,11580,26159407.0
145,146,905.1610169491526,127.4973924380704,1534,7975,14728.0,36285,22592396.0
146,147,908.0351594439902,167.2959934587081,1223,12233,23138.0,45283,28297453.0
147,148,918.1262337662338,93.67376623376623,1925,5406,8840.0,15821,17016375.0
148,149,907.2311320754717,406.6906653426018,4028,6344,14585.0,65535,58750181.0
149,150,906.5743119266056,1005.4146788990826,1090,4351,4975.0,7582,5422545.0
150,151,910.5404747413269,938.9251369446135,1643,5778,8208.0,20218,13485818.0
151,152,916.7930895942145,353.45439935717155,2490,5820,13754.0,65535,34246538.0
152,153,925.5317848410758,973.9266503667482,818,4929,6426.0,10591,5256100.0
153,154,937.9571843251089,179.55478955007257,2756,5846,12974.0,40814,35757231.0
154,155,946.2648601398602,1013.8347902097902,1144,4240,4687.0,5349,5361686.0
155,156,950.1425276752767,937.6314575645756,2168,4571,8181.0,19352,17736255.0
156,157,953.9298998569385,988.244635193133,1398,4430,5477.0,8152,7656149.0
157,158,959.9467707594039,371.6983676366217,2818,5710,14413.0,65535,40614681.0
158,159,984.3717511157785,793.3258072985035,3809,4614,5087.0,5778,19375554.0
159,160,1000.0956103427541,354.8202044497895,1663,5393,5779.0,6327,9610360.0
160,161,1004.0376222723853,319.4890895410083,1329,5200,5681.0,6093,7550404.0
